No. Pedido de importacion,No. Contrato,Cliente,Referencia,Descripcion,Cantidad,Medida,Procedencia,Proveedor,Fecha Solicitud al proveedor,Fecha de Inicio Fabricacion,Status importacion,ETD (Fecha de zarpe),ETA (Fecha de llegada material a Puerto),Llega a,Fecha de llegada material 
ULNSCO25003,CO-060,Cusezar,1001,"piso lam. Con bisel  1215x195x8mm caja 1,8954",3119.63,M2,China,Decoration Materials,2025-02-22,2025-02-22,Cumplida,2025-04-02 00:00:00,2025-05-02 00:00:00,Bodega Norventas,2025-05-19 00:00:00
ULNSCO25004,CO-061,PRODESA,1002,"piso lam. Con bisel  1215x195x8mm caja 1,8954",5780.97,M2,China,Decoration Materials,2025-02-22,2025-02-22,Cumplida,2025-04-02 00:00:00,2025-05-02 00:00:00,Bodega Norventas,2025-05-19 00:00:00
ULNSCO25005,CO-062,MITSUBISHI,1003,"Piso spc 1218x180x4mm(0,5mm) caja 2,1924 sin Eva",1004.12,M2,China,Decoration Materials,2025-02-22,2025-02-22,Cumplida,2025-04-02 00:00:00,2025-05-02 00:00:00,Bodega Norventas,2025-05-19 00:00:00
ULNSCO25006,CO-063,C.A.S.A.,1004,"piso lam. Con bisel  1215x195x8mm caja 1,8954",200.91,M2,China,Decoration Materials,2025-03-11,2025-03-11,Cumplida,2025-04-13 00:00:00,2025-05-14 00:00:00,Bodega Norventas,2025-05-25 00:00:00
ULNSCO25007,CO-064,C.A.S.A.,1005,"piso lam. Con bisel  1215x195x8mm caja 1,8954",1300.24,M2,China,Decoration Materials,2025-03-11,2025-03-11,Cumplida,2025-04-13 00:00:00,2025-05-14 00:00:00,Bodega Norventas,2025-05-25 00:00:00
ULNSCO25008,CO-065,CODIGO PROYECTOS,1006,"piso lam. Con bisel  1215x195x8mm caja 1,8954",1800.63,M2,China,Decoration Materials,2025-03-11,2025-03-11,Cumplida,2025-04-13 00:00:00,2025-05-14 00:00:00,Bodega Norventas,2025-05-25 00:00:00
ULNSCO25009,CO-066,BOLIVAR,1007,"piso lam. Con bisel  1215x195x8mm caja 1,8954",705.09,M2,China,Decoration Materials,2025-04-02,2025-04-02,Cumplida,2025-05-17 00:00:00,2025-06-24 00:00:00,Bodega Norventas,PTE
ULNSCO25010,CO-067,PRODESA,1008,"piso lam. Con bisel  1215x195x8mm caja 1,8954",3417.41,M2,China,Decoration Materials,2025-04-02,2025-04-02,Cumplida,2025-05-17 00:00:00,2025-06-24 00:00:00,Obra,PTE
ULNSCO25011,CO-068,C.A.S.A,1009,"piso lam. Con bisel  1215x195x8mm caja 1,8954",380.98,M2,China,Decoration Materials,2025-04-02,2025-04-02,Cumplida,2025-05-17 00:00:00,2025-06-24 00:00:00,Bodega Norventas,PTE
ULNSCO25012,CO-069,CONSTRUPA,1010,"piso lam. con bisel  1215x195x8mm caja 1,8954",2103.89,M2,China,Decoration Materials,2025-04-02,2025-04-02,Cumplida,2025-05-17 00:00:00,2025-06-24 00:00:00,Bodega Norventas,PTE
ULNSCO25013,CO-070,ACTUAL,1011,"piso lam. con bisel  1215x195x8mm caja 1,8954",3301.79,M2,China,Decoration Materials,2025-04-28,2025-04-28,Cumplida,2025-06-15 00:00:00,2025-07-10 00:00:00,Bodega Norventas,2025-07-21 00:00:00
ULNSCO25014,CO-071,AR CONSTRUCCIONES,1012,"piso lam. con bisel  1215x195x8mm caja 1,8954",3301.79,M2,China,Decoration Materials,2025-05-10,2025-05-10,Cumplida,2025-06-30 00:00:00,2025-07-30 00:00:00,Obra,2025-08-12 00:00:00
ULNSCO25015,CO-072,MAKRO,1013,"piso lam. sin bisel  1215x195x8mm caja 1,8954",4105.44,M2,China,Decoration Materials,2025-05-15,2025-05-15,Cumplida,2025-07-14 00:00:00,2025-09-06 00:00:00,Obra,2025-09-15 00:00:00
ULNSCO25016,CO-073,CONVEL,1014,"piso lam. con bisel  1215x195x8mm caja 1,8954",2496.24,M2,China,Decoration Materials,2025-05-15,2025-05-15,Cumplida,2025-07-14 00:00:00,2025-09-06 00:00:00,Bodega Norventas,2025-09-13 00:00:00
ULNSCO25017,CO-074,AMARILO,1015,"Piso lam. sincronizado con bisel EIR 1215X195X8MM (0,3MM)",3316.95,M2,China,Decoration Materials,2025-05-19,2025-05-19,Cumplida,2025-06-03 00:00:00,2025-07-03 00:00:00,Obra,2025-07-17 00:00:00
ULNSCO25018,CO-075,COANDES,1016,"piso lam. con bisel  1215x195x8mm caja 1,8954",1764.62,M2,China,Decoration Materials,2025-05-24,2025-05-24,Cumplida,2025-07-16 00:00:00,2025-09-06 00:00:00,Bodega Norventas,2025-07-15 00:00:00
ULNSCO25019,CO-076,JELPIT,1017,"piso lam. con bisel  1215x195x8mm caja 1,8954",644.44,M2,China,Decoration Materials,2025-05-24,2025-05-24,Cumplida,2025-07-16 00:00:00,2025-09-06 00:00:00,Bodega Norventas,2025-07-15 00:00:00
ULNSCO25020,CO-077,ACTUAL,1018,"piso lam. con bisel  1215x195x8mm caja 1,8954",642.54,M2,China,Decoration Materials,2025-05-24,2025-05-24,Cumplida,2025-07-16 00:00:00,2025-09-06 00:00:00,Bodega Norventas,2025-07-15 00:00:00
ULNSCO25021,CO-078,MAKRO,1019,"piso lam. sin bisel  1215x195x8mm caja 1,8954",252.09,M2,China,Decoration Materials,2025-05-24,2025-05-24,Cumplida,2025-07-16 00:00:00,2025-09-06 00:00:00,Bodega Norventas,2025-07-15 00:00:00
ULNSCO25022,CO-079,AR CONSTRUCCIONES,1020,"piso lam. con bisel  1215x195x8mm caja 1,8954",3301.79,M2,China,Decoration Materials,2025-06-10,2025-06-10,Cumplida,2025-07-17 00:00:00,2025-08-17 00:00:00,Obra,2025-08-28 00:00:00
ULNSCO25023,CO-080,AMARILO,1021,"Piso lam. sincronizado con bisel EIR 1215X195X8MM (0,3MM)",3301.79,M2,China,Decoration Materials,2025-07-02,2025-07-02,Cumplida,2025-07-31 00:00:00,2025-08-30 00:00:00,Obra,2025-09-09 00:00:00
ULNSCO25024,CO-081,NORVENTAS STOCK,1022,"piso lam. con bisel  1215x195x8mm caja 1,8954",801.75,M2,China,Decoration Materials,2025-07-03,2025-07-03,Cumplida,2025-08-14 00:00:00,2025-09-18 00:00:00,Bodega Norventas,2025-09-29 00:00:00
ULNSCO25025,CO-082,PRODESA,1023,"piso lam. con bisel  1215x195x8mm caja 1,8954",1000.77,M2,China,Decoration Materials,2025-07-03,2025-07-03,Cumplida,2025-08-14 00:00:00,2025-09-18 00:00:00,Bodega Norventas,2025-09-29 00:00:00
ULNSCO25026,CO-083,MAKRO,1024,"piso lam. sin bisel  1215x195x8mm caja 1,8954",200.91,M2,China,Decoration Materials,2025-07-03,2025-07-03,Cumplida,2025-08-14 00:00:00,2025-09-18 00:00:00,Bodega Norventas,2025-09-29 00:00:00
ULNSCO25027,CO-084,AMARILO,1025,"Piso lam. sincronizado con bisel EIR 1215X195X8MM (0,3MM)",551.56,M2,China,Decoration Materials,2025-07-03,2025-07-03,Cumplida,2025-08-14 00:00:00,2025-09-18 00:00:00,Bodega Norventas,2025-09-29 00:00:00
